"A"	"B"	"type"
"HDAC2"	"MAP2K1"	"Negative Genetic"
"CDK9"	"PDGFRA"	"Negative Genetic"
"ROR1"	"VHL"	"Negative Genetic"
"CASP8"	"VHL"	"Negative Genetic"
"PBRM1"	"VHL"	"Negative Genetic"
"RPS6KB1"	"VHL"	"Negative Genetic"
"CDK4"	"ERBB2"	"Negative Genetic"
"ABL1"	"RPS6KB1"	"Negative Genetic"
"CDK9"	"PRKDC"	"Negative Genetic"
"CDK6"	"FGFR3"	"Negative Genetic"
"HDAC2"	"VHL"	"Negative Genetic"
"FLT3"	"VHL"	"Negative Genetic"
"CHEK1"	"MET"	"Negative Genetic"
"CASP8"	"CDKN1B"	"Negative Genetic"
"BCL2"	"CDK4"	"Negative Genetic"
"CDK4"	"TOP1"	"Negative Genetic"
"VEGFA"	"VHL"	"Negative Genetic"
"ERBB2"	"SRC"	"Negative Genetic"
"BRAF"	"EGFR"	"Negative Genetic"
"NF1"	"PTEN"	"Positive Genetic"
"ADA"	"PTEN"	"Positive Genetic"
"HSP90AA1"	"PTEN"	"Positive Genetic"
"MET"	"PTEN"	"Positive Genetic"
"KDM6A"	"PTEN"	"Positive Genetic"
"CDK4"	"PTEN"	"Positive Genetic"
"CDKN2A"	"PTEN"	"Positive Genetic"
"BRAF"	"PTEN"	"Positive Genetic"
"KIT"	"TP53"	"Positive Genetic"
"KIT"	"SMO"	"Positive Genetic"
"PTEN"	"SLC9A3R1"	"Phenotypic Enhancement"
"PAK4"	"MMP2"	"Synthetic Growth Defect"
"KRAS"	"RCE1"	"Synthetic Lethality"
"KRAS"	"ICMT"	"Synthetic Lethality"
"KRAS"	"RAF1"	"Synthetic Lethality"
"KRAS"	"SHOC2"	"Synthetic Lethality"
"KRAS"	"PREX1"	"Synthetic Lethality"
"NRAS"	"RCE1"	"Synthetic Lethality"
"NRAS"	"ICMT"	"Synthetic Lethality"
"NRAS"	"RAF1"	"Synthetic Lethality"
"NRAS"	"SHOC2"	"Synthetic Lethality"
"NRAS"	"PREX1"	"Synthetic Lethality"
"NRAS"	"GOLGA7"	"Synthetic Lethality"
"TP53"	"OLIG2"	"Phenotypic Suppression"
"TARDBP"	"DNAJB1"	"Phenotypic Suppression"
"CDKN2C"	"MEN1"	"Phenotypic Enhancement"
"MTOR"	"TP53"	"Synthetic Lethality"
"KDR"	"TP53"	"Synthetic Lethality"
"EGFR"	"TP53"	"Synthetic Lethality"
"ATM"	"PRKCA"	"Synthetic Lethality"
"RECQL5"	"FANCC"	"Synthetic Growth Defect"
"RECQL5"	"BRCA2"	"Synthetic Growth Defect"
"BRIP1"	"MSH2"	"Phenotypic Suppression"
"FANCD2"	"MSH2"	"Phenotypic Suppression"
"BRCA1"	"MSH2"	"Phenotypic Suppression"
"UBL5"	"WAPAL"	"Synthetic Lethality"
"DNA2"	"EXO1"	"Phenotypic Enhancement"
"RBBP8"	"FANCD2"	"Phenotypic Enhancement"
"HSP90AA1"	"LLGL1"	"Synthetic Lethality"
"HSP90AA1"	"RB1"	"Synthetic Lethality"
"HSP90AA1"	"FZR1"	"Synthetic Lethality"
"HSP90AA1"	"MCL1"	"Synthetic Lethality"
"HSP90AA1"	"CDKN1B"	"Synthetic Lethality"
"HSP90AA1"	"ATR"	"Synthetic Lethality"
"CHEK2"	"WEE1"	"Synthetic Lethality"
"CHEK2"	"CHEK1"	"Synthetic Lethality"
"CHEK2"	"CDC6"	"Synthetic Lethality"
"CHEK2"	"CDC73"	"Synthetic Lethality"
"CHEK2"	"BLM"	"Synthetic Lethality"
"CHEK2"	"RFC1"	"Synthetic Lethality"
"CHEK2"	"RAD17"	"Synthetic Lethality"
"CHEK2"	"FZR1"	"Synthetic Lethality"
"CHEK2"	"ATAD5"	"Synthetic Lethality"
"CHEK2"	"LLGL1"	"Synthetic Lethality"
"CHEK2"	"CDC14A"	"Synthetic Lethality"
"CHEK2"	"RPS10"	"Synthetic Lethality"
"CHEK2"	"WRN"	"Synthetic Lethality"
"CHEK2"	"ATR"	"Synthetic Lethality"
"CHEK2"	"DAAM1"	"Synthetic Lethality"
"CHEK2"	"TTN"	"Synthetic Lethality"
"CHEK2"	"BRD4"	"Synthetic Lethality"
"CHEK1"	"WEE1"	"Synthetic Lethality"
"CHEK1"	"CDC6"	"Synthetic Lethality"
"CHEK1"	"CDC73"	"Synthetic Lethality"
"CHEK1"	"BLM"	"Synthetic Lethality"
"CHEK1"	"RFC1"	"Synthetic Lethality"
"CHEK1"	"RAD17"	"Synthetic Lethality"
"CHEK1"	"FZR1"	"Synthetic Lethality"
"CHEK1"	"ATAD5"	"Synthetic Lethality"
"CHEK1"	"LLGL1"	"Synthetic Lethality"
"CHEK1"	"CDC14A"	"Synthetic Lethality"
"CHEK1"	"RPS10"	"Synthetic Lethality"
"CHEK1"	"WRN"	"Synthetic Lethality"
"CHEK1"	"ATR"	"Synthetic Lethality"
"CHEK1"	"DAAM1"	"Synthetic Lethality"
"CHEK1"	"TTN"	"Synthetic Lethality"
"CHEK1"	"BRD4"	"Synthetic Lethality"
"CSNK2A1"	"APC"	"Synthetic Lethality"
"CSNK2A1"	"ATAD5"	"Synthetic Lethality"
"CSNK2A1"	"STK11"	"Synthetic Lethality"
"ALDH2"	"RPL11"	"Synthetic Lethality"
"ALDH2"	"ARID1A"	"Synthetic Lethality"
"ALDH2"	"XRCC3"	"Synthetic Lethality"
"ALDH2"	"ATAD5"	"Synthetic Lethality"
"ALDH2"	"APC"	"Synthetic Lethality"
"ALDH2"	"PHB2"	"Synthetic Lethality"
"ALDH2"	"RAD23B"	"Synthetic Lethality"
"MTOR"	"CHEK1"	"Synthetic Lethality"
"MTOR"	"YWHAZ"	"Synthetic Lethality"
"ADA"	"WEE1"	"Synthetic Lethality"
"ADA"	"CHEK1"	"Synthetic Lethality"
"ADA"	"BLM"	"Synthetic Lethality"
"TOP1"	"CHEK1"	"Synthetic Lethality"
"TOP1"	"BRCA2"	"Synthetic Lethality"
"TOP1"	"WEE1"	"Synthetic Lethality"
"TOP1"	"PALB2"	"Synthetic Lethality"
"TOP1"	"RAD17"	"Synthetic Lethality"
"TOP1"	"LLGL1"	"Synthetic Lethality"
"TOP1"	"MSH2"	"Synthetic Lethality"
"TOP1"	"NF1"	"Synthetic Lethality"
"TOP1"	"RPS11"	"Synthetic Lethality"
"TOP1"	"CDC73"	"Synthetic Lethality"
"TOP1"	"CDC6"	"Synthetic Lethality"
"TOP1"	"MAP3K4"	"Synthetic Lethality"
"TOP1"	"TTN"	"Synthetic Lethality"
"TOP1"	"FH"	"Synthetic Lethality"
"TOP2A"	"CHEK1"	"Synthetic Lethality"
"TOP2A"	"BRCA2"	"Synthetic Lethality"
"TOP2A"	"WEE1"	"Synthetic Lethality"
"TOP2A"	"PALB2"	"Synthetic Lethality"
"TOP2A"	"RAD17"	"Synthetic Lethality"
"TOP2A"	"LLGL1"	"Synthetic Lethality"
"TOP2A"	"MSH2"	"Synthetic Lethality"
"TOP2A"	"NF1"	"Synthetic Lethality"
"TOP2A"	"RPS11"	"Synthetic Lethality"
"TOP2A"	"CDC73"	"Synthetic Lethality"
"TOP2A"	"CDC6"	"Synthetic Lethality"
"TOP2A"	"MAP3K4"	"Synthetic Lethality"
"TOP2A"	"TTN"	"Synthetic Lethality"
"TOP2A"	"FH"	"Synthetic Lethality"
"TOP3A"	"CHEK1"	"Synthetic Lethality"
"TOP3A"	"BRCA2"	"Synthetic Lethality"
"TOP3A"	"WEE1"	"Synthetic Lethality"
"TOP3A"	"PALB2"	"Synthetic Lethality"
"TOP3A"	"RAD17"	"Synthetic Lethality"
"TOP3A"	"LLGL1"	"Synthetic Lethality"
"TOP3A"	"MSH2"	"Synthetic Lethality"
"TOP3A"	"NF1"	"Synthetic Lethality"
"TOP3A"	"RPS11"	"Synthetic Lethality"
"TOP3A"	"CDC73"	"Synthetic Lethality"
"TOP3A"	"CDC6"	"Synthetic Lethality"
"TOP3A"	"MAP3K4"	"Synthetic Lethality"
"TOP3A"	"TTN"	"Synthetic Lethality"
"TOP3A"	"FH"	"Synthetic Lethality"
"DHFR"	"CDC73"	"Synthetic Lethality"
"DHFR"	"CHEK1"	"Synthetic Lethality"
"DHFR"	"WEE1"	"Synthetic Lethality"
"WEE1"	"CHEK1"	"Synthetic Lethality"
"WEE1"	"CDC73"	"Synthetic Lethality"
"WEE1"	"TTN"	"Synthetic Lethality"
"WEE1"	"RB1"	"Synthetic Lethality"
"WEE1"	"ING4"	"Synthetic Lethality"
"WEE1"	"FZR1"	"Synthetic Lethality"
"WEE1"	"WRN"	"Synthetic Lethality"
"WEE1"	"BLM"	"Synthetic Lethality"
"WEE1"	"ATAD5"	"Synthetic Lethality"
"WEE1"	"BRD4"	"Synthetic Lethality"
"WEE1"	"FH"	"Synthetic Lethality"
"WEE1"	"WEE1"	"Synthetic Lethality"
"WEE1"	"CDKN1B"	"Synthetic Lethality"
"WEE1"	"XRCC3"	"Synthetic Lethality"
"WEE1"	"CDK12"	"Synthetic Lethality"
"WEE1"	"CDC6"	"Synthetic Lethality"
"CHEK1"	"MTOR"	"Synthetic Lethality"
"CHEK1"	"SMARCC1"	"Synthetic Lethality"
"CHEK1"	"TUSC3"	"Synthetic Lethality"
"CHEK1"	"TCEA1"	"Synthetic Lethality"
"CHEK1"	"FHIT"	"Synthetic Lethality"
"CHEK1"	"USP11"	"Synthetic Lethality"
"IMPDH1"	"CHEK1"	"Synthetic Lethality"
"IMPDH1"	"WEE1"	"Synthetic Lethality"
"IMPDH1"	"RPS11"	"Synthetic Lethality"
"IMPDH1"	"CDC73"	"Synthetic Lethality"
"IMPDH1"	"SH3GL1"	"Synthetic Lethality"
"PARP1"	"BRCA2"	"Synthetic Lethality"
"PARP1"	"BRCA1"	"Synthetic Lethality"
"MAP2K1"	"TUSC3"	"Synthetic Lethality"
"MAP2K1"	"MTOR"	"Synthetic Lethality"
"MAP2K1"	"TTN"	"Synthetic Lethality"
"MAP2K1"	"FH"	"Synthetic Lethality"
"MAP2K1"	"ING5"	"Synthetic Lethality"
"MAP2K1"	"BLM"	"Synthetic Lethality"
"MAP2K1"	"ATAD5"	"Synthetic Lethality"
"MAP2K1"	"STK11"	"Synthetic Lethality"
"CDC7"	"BRD4"	"Synthetic Lethality"
"CDC7"	"RPS11"	"Synthetic Lethality"
"CDC7"	"ING5"	"Synthetic Lethality"
"CDK9"	"BRD4"	"Synthetic Lethality"
"CDK9"	"RPS11"	"Synthetic Lethality"
"CDK9"	"ING5"	"Synthetic Lethality"
"MAPK1"	"FH"	"Synthetic Lethality"
"MAPK1"	"TTN"	"Synthetic Lethality"
"MAPK1"	"MTOR"	"Synthetic Lethality"
"MAPK1"	"RPS11"	"Synthetic Lethality"
"RABGGTB"	"XRCC3"	"Synthetic Lethality"
"RABGGTB"	"ATAD5"	"Synthetic Lethality"
"RABGGTB"	"BLM"	"Synthetic Lethality"
"RABGGTB"	"MTOR"	"Synthetic Lethality"
"RABGGTB"	"RPS19"	"Synthetic Lethality"
"FNTA"	"XRCC3"	"Synthetic Lethality"
"FNTA"	"ATAD5"	"Synthetic Lethality"
"FNTA"	"BLM"	"Synthetic Lethality"
"FNTA"	"MTOR"	"Synthetic Lethality"
"FNTA"	"RPS19"	"Synthetic Lethality"
"TUBA1A"	"TUSC3"	"Synthetic Lethality"
"TUBA1A"	"CDC73"	"Synthetic Lethality"
"TUBA1A"	"ATAD5"	"Synthetic Lethality"
"TUBA1A"	"CHEK1"	"Synthetic Lethality"
"TUBA1A"	"LLGL1"	"Synthetic Lethality"
"TUBA1A"	"ING4"	"Synthetic Lethality"
"TUBA1A"	"ING5"	"Synthetic Lethality"
"TUBA1A"	"WRN"	"Synthetic Lethality"
"TUBA1A"	"BLM"	"Synthetic Lethality"
"TUBA1A"	"XRCC3"	"Synthetic Lethality"
"TUBA1A"	"RB1"	"Synthetic Lethality"
"TUBA1A"	"YWHAZ"	"Synthetic Lethality"
"TUBA1A"	"WEE1"	"Synthetic Lethality"
"TUBA1A"	"RPL11"	"Synthetic Lethality"
"TUBA1A"	"TTN"	"Synthetic Lethality"
"TUBA1A"	"PHB2"	"Synthetic Lethality"
"TUBA1A"	"CDC14A"	"Synthetic Lethality"
"TUBA1A"	"MTOR"	"Synthetic Lethality"
"TUBA1A"	"CHEK2"	"Synthetic Lethality"
"PRKDC"	"FANCD2"	"Synthetic Lethality"
"RBBP8"	"FANCD2"	"Synthetic Lethality"
"MRE11A"	"FEN1"	"Synthetic Lethality"
"ATM"	"FEN1"	"Synthetic Lethality"
"UBE2N"	"FEN1"	"Synthetic Lethality"
"HLTF"	"FEN1"	"Synthetic Lethality"
"FEN1"	"PARP1"	"Synthetic Lethality"
"FANCD2"	"PARP1"	"Synthetic Lethality"
"BRCA2"	"PARP1"	"Synthetic Lethality"
"BRCA2"	"PARP2"	"Synthetic Lethality"
"FANCD2"	"PARP2"	"Synthetic Lethality"
"FEN1"	"PARP2"	"Synthetic Lethality"
"FANCA"	"HSP90AB1"	"Synthetic Lethality"
"NBN"	"CHEK1"	"Phenotypic Enhancement"
"FANCD2"	"CHEK1"	"Phenotypic Enhancement"
"FANCC"	"NPM1"	"Dosage Rescue"
"WEE1"	"MTOR"	"Synthetic Lethality"
"BRAF"	"MAP2K1"	"Synthetic Lethality"
"GJB3"	"GJB2"	"Phenotypic Enhancement"
"ULK1"	"ULK2"	"Phenotypic Enhancement"
"RB1CC1"	"TBK1"	"Phenotypic Enhancement"
"TSC2"	"RNGTT"	"Synthetic Growth Defect"
"TSC2"	"CCNT1"	"Synthetic Growth Defect"
"TSC2"	"CDK11A"	"Synthetic Growth Defect"
"CFLAR"	"TNFRSF1A"	"Phenotypic Suppression"
"IRF2"	"PRDM1"	"Phenotypic Suppression"
"RABIF"	"RAB10"	"Phenotypic Suppression"
"CXCR4"	"PSIP1"	"Phenotypic Enhancement"
"NHLH2"	"LMO3"	"Phenotypic Suppression"
"HES1"	"LMO3"	"Phenotypic Suppression"
"HES1"	"NHLH2"	"Phenotypic Suppression"
"AARS2"	"LEO1"	"Positive Genetic"
"AARS2"	"MRPS16"	"Positive Genetic"
"AARS2"	"MRPS5"	"Positive Genetic"
"AARS2"	"PSMB6"	"Negative Genetic"
"AATF"	"AATF"	"Negative Genetic"
"AATF"	"DONSON"	"Positive Genetic"
"AATF"	"GFI1B"	"Positive Genetic"
"AATF"	"MCM3AP"	"Negative Genetic"
"ABCB7"	"AURKA"	"Positive Genetic"
"ABCB7"	"HSCB"	"Negative Genetic"
"ABCB7"	"LONP1"	"Negative Genetic"
"ABCB7"	"MBTPS2"	"Positive Genetic"
"ABCB7"	"MED23"	"Negative Genetic"
"ABCB7"	"MINOS1"	"Negative Genetic"
"ABCB7"	"NUBP1"	"Negative Genetic"
"ABCB7"	"ORAOV1"	"Negative Genetic"
"ABCB7"	"PITRM1"	"Negative Genetic"
"ABCB7"	"TAF2"	"Negative Genetic"
"ACTL6A"	"ACTL6A"	"Negative Genetic"
"ACTL6A"	"ARL2"	"Negative Genetic"
"ACTL6A"	"EIF4G2"	"Positive Genetic"
"ACTL6A"	"LEO1"	"Negative Genetic"
"ACTL6A"	"MRPL22"	"Negative Genetic"
"ACTL6A"	"MRPS11"	"Negative Genetic"
"ACTL6A"	"SNAPC1"	"Positive Genetic"
"ACTL6A"	"UBA2"	"Positive Genetic"
"ACTR10"	"ACTR10"	"Negative Genetic"
"ACTR10"	"ANAPC13"	"Negative Genetic"
"ACTR10"	"BTF3"	"Positive Genetic"
"ACTR10"	"CENPW"	"Negative Genetic"
"ACTR10"	"CEP152"	"Negative Genetic"
"ACTR10"	"COPS2"	"Negative Genetic"
"ACTR10"	"DCTN4"	"Negative Genetic"
"ACTR10"	"DYNC1H1"	"Negative Genetic"
"ACTR10"	"EXOSC4"	"Positive Genetic"
"ACTR10"	"CEP295"	"Negative Genetic"
"ACTR10"	"PAFAH1B1"	"Negative Genetic"
"ACTR10"	"POLN"	"Negative Genetic"
"ACTR10"	"PPP2R1A"	"Negative Genetic"
"ACTR10"	"SGOL1"	"Negative Genetic"
"ACTR10"	"SKA3"	"Negative Genetic"
"ACTR10"	"TRA2B"	"Negative Genetic"
"ACTR10"	"ZNF574"	"Negative Genetic"
"ACTR10"	"ZWINT"	"Positive Genetic"
"ADAT2"	"ARL2"	"Negative Genetic"
"ADAT2"	"ATP1A1"	"Positive Genetic"
"ADAT2"	"BDP1"	"Positive Genetic"
"ADAT2"	"UBA2"	"Positive Genetic"
"ADAT2"	"USE1"	"Negative Genetic"
"ADPRM"	"FH"	"Positive Genetic"
"ADPRM"	"GTF2H4"	"Negative Genetic"
"ADPRM"	"PHF5A"	"Positive Genetic"
"ADPRM"	"XPO1"	"Negative Genetic"
"AFG3L2"	"AFG3L2"	"Negative Genetic"
"AFG3L2"	"COA3"	"Negative Genetic"
"AFG3L2"	"MINOS1"	"Negative Genetic"
"AFG3L2"	"NDUFA8"	"Negative Genetic"
"AFG3L2"	"NDUFB1"	"Negative Genetic"
"AFG3L2"	"NDUFB4"	"Negative Genetic"
"AFG3L2"	"PITRM1"	"Negative Genetic"
"AFG3L2"	"TAZ"	"Negative Genetic"
"AFG3L2"	"YTHDC1"	"Positive Genetic"
"ANAPC13"	"ANAPC13"	"Positive Genetic"
"ANAPC13"	"ARL2"	"Negative Genetic"
"ANAPC13"	"BOD1L1"	"Negative Genetic"
"ANAPC13"	"BUB1B"	"Positive Genetic"
"ANAPC13"	"CCNK"	"Negative Genetic"
"ANAPC13"	"CDC16"	"Negative Genetic"
"ANAPC13"	"CDC23"	"Negative Genetic"
"ANAPC13"	"CDC26"	"Negative Genetic"
"ANAPC13"	"CDC27"	"Negative Genetic"
"ANAPC13"	"CDK12"	"Negative Genetic"
"ANAPC13"	"CENPK"	"Negative Genetic"
"ANAPC13"	"CENPM"	"Negative Genetic"
"ANAPC13"	"CENPW"	"Negative Genetic"
"ANAPC13"	"CEP152"	"Negative Genetic"
"ANAPC13"	"CEP63"	"Negative Genetic"
"ANAPC13"	"CIRH1A"	"Negative Genetic"
"ANAPC13"	"CKAP5"	"Negative Genetic"
"ANAPC13"	"COPS2"	"Negative Genetic"
"ANAPC13"	"COPS4"	"Negative Genetic"
"ANAPC13"	"COPS5"	"Negative Genetic"
"ANAPC13"	"DHODH"	"Negative Genetic"
"ANAPC13"	"DICER1"	"Negative Genetic"
"ANAPC13"	"ELP4"	"Negative Genetic"
"ANAPC13"	"GNL3L"	"Negative Genetic"
"ANAPC13"	"HUS1"	"Negative Genetic"
"ANAPC13"	"IMPDH2"	"Negative Genetic"
"ANAPC13"	"CEP295"	"Negative Genetic"
"ANAPC13"	"MBTPS2"	"Negative Genetic"
"ANAPC13"	"MCM3AP"	"Negative Genetic"
"ANAPC13"	"MRPL19"	"Negative Genetic"
"ANAPC13"	"NAA50"	"Negative Genetic"
"ANAPC13"	"NUBP1"	"Negative Genetic"
"ANAPC13"	"NUP54"	"Negative Genetic"
"ANAPC13"	"PAFAH1B1"	"Negative Genetic"
"ANAPC13"	"PELO"	"Negative Genetic"
"ANAPC13"	"PNN"	"Negative Genetic"
"ANAPC13"	"PPP2R1A"	"Negative Genetic"
"ANAPC13"	"RPL28"	"Negative Genetic"
"ANAPC13"	"RPL36A"	"Negative Genetic"
"ANAPC13"	"SAP18"	"Negative Genetic"
"ANAPC13"	"SDHC"	"Negative Genetic"
"ANAPC13"	"SGOL1"	"Negative Genetic"
"ANAPC13"	"SKA3"	"Negative Genetic"
"ANAPC13"	"SMNDC1"	"Negative Genetic"
"ANAPC13"	"SPAG7"	"Negative Genetic"
"ANAPC13"	"TCOF1"	"Negative Genetic"
"ANAPC13"	"TIPIN"	"Negative Genetic"
"ANAPC13"	"TRA2B"	"Negative Genetic"
"ANAPC13"	"TUBB"	"Negative Genetic"
"ANAPC13"	"UBA3"	"Negative Genetic"
"ANAPC13"	"ZNF574"	"Negative Genetic"
"ANAPC13"	"ZWINT"	"Positive Genetic"
"ANKZF1"	"ANKZF1"	"Negative Genetic"
"ANKZF1"	"SNRPB"	"Positive Genetic"
"APOOL"	"APOOL"	"Positive Genetic"
"APOOL"	"FIP1L1"	"Negative Genetic"
"APOOL"	"OPA1"	"Negative Genetic"
"APOOL"	"TRNAU1AP"	"Negative Genetic"
"ARGLU1"	"MRPL22"	"Negative Genetic"
"ARGLU1"	"UBA2"	"Positive Genetic"
"ARIH1"	"ARIH1"	"Negative Genetic"
"ARIH1"	"ATP6AP1"	"Negative Genetic"
"ARIH1"	"DICER1"	"Negative Genetic"
"ARIH1"	"FDPS"	"Negative Genetic"
"ARIH1"	"HUS1"	"Negative Genetic"
"ARIH1"	"PPP2R1A"	"Negative Genetic"
"ARIH1"	"RPL10"	"Negative Genetic"
"ARIH1"	"SNAPC1"	"Positive Genetic"
"ARIH1"	"TIMELESS"	"Negative Genetic"
"ARIH1"	"TIPIN"	"Negative Genetic"
"ARIH1"	"ZNF574"	"Negative Genetic"
"ARL2"	"ARL2"	"Negative Genetic"
"ARL2"	"ARL2"	"Positive Genetic"
"ARL2"	"AURKA"	"Negative Genetic"
"ARL2"	"C6orf203"	"Negative Genetic"
"ARL2"	"CDC16"	"Negative Genetic"
"ARL2"	"CDC23"	"Negative Genetic"
"ARL2"	"CDC27"	"Negative Genetic"
"ARL2"	"CENPM"	"Negative Genetic"
"ARL2"	"CENPW"	"Negative Genetic"
"ARL2"	"CEP152"	"Negative Genetic"
"ARL2"	"CEP192"	"Negative Genetic"
"ARL2"	"CEP63"	"Negative Genetic"
"ARL2"	"CTNNBL1"	"Negative Genetic"
"ARL2"	"EIF4G2"	"Positive Genetic"
"ARL2"	"EIF6"	"Negative Genetic"
"ARL2"	"KDM1A"	"Negative Genetic"
"ARL2"	"CEP295"	"Negative Genetic"
"ARL2"	"LEO1"	"Negative Genetic"
"ARL2"	"NFYC"	"Negative Genetic"
"ARL2"	"NUP43"	"Negative Genetic"
"ARL2"	"PAFAH1B1"	"Negative Genetic"
"ARL2"	"PDCD7"	"Negative Genetic"
"ARL2"	"POLN"	"Negative Genetic"
"ARL2"	"PPCS"	"Negative Genetic"
"ARL2"	"PPIE"	"Negative Genetic"
"ARL2"	"PPP2R1A"	"Negative Genetic"
"ARL2"	"PPWD1"	"Negative Genetic"
"ARL2"	"PSMD4"	"Positive Genetic"
"ARL2"	"PSMD6"	"Negative Genetic"
"ARL2"	"PTTG1"	"Negative Genetic"
"ARL2"	"RPL11"	"Negative Genetic"
"ARL2"	"RPL23"	"Negative Genetic"
"ARL2"	"RPLP1"	"Negative Genetic"
"ARL2"	"SGOL1"	"Negative Genetic"
"ARL2"	"SKA3"	"Negative Genetic"
"ARL2"	"TAF2"	"Negative Genetic"
"ARL2"	"UBA2"	"Positive Genetic"
"ARL2"	"UBA3"	"Negative Genetic"
"ARL2"	"USE1"	"Negative Genetic"
"ARL2"	"WDR61"	"Negative Genetic"
"ARL2"	"WDR70"	"Negative Genetic"
"ARL2"	"XRN2"	"Positive Genetic"
"ARL2"	"ZMAT5"	"Negative Genetic"
"ARL2"	"ZNF574"	"Negative Genetic"
"ASCC3"	"ASCC3"	"Positive Genetic"
"ASCC3"	"BTF3"	"Negative Genetic"
"ASCC3"	"CDK12"	"Negative Genetic"
"ASCC3"	"DNA2"	"Negative Genetic"
"ASCC3"	"EIF3H"	"Positive Genetic"
"ASCC3"	"FARSA"	"Positive Genetic"
"ASCC3"	"GFI1B"	"Negative Genetic"
"ASCC3"	"CEP295"	"Negative Genetic"
"ASCC3"	"LEO1"	"Negative Genetic"
"ASCC3"	"MBTPS2"	"Negative Genetic"
"ASCC3"	"METAP2"	"Negative Genetic"
"ASCC3"	"NUDC"	"Negative Genetic"
"ASCC3"	"RBM25"	"Negative Genetic"
"ASCC3"	"RINT1"	"Negative Genetic"
"ASCC3"	"RPLP1"	"Negative Genetic"
"ASCC3"	"SEC22B"	"Negative Genetic"
"ASCC3"	"SRP19"	"Negative Genetic"
"ASCC3"	"USE1"	"Negative Genetic"
"ASCC3"	"WDR61"	"Negative Genetic"
"ASCC3"	"WDR7"	"Negative Genetic"
"ASCC3"	"XPO1"	"Positive Genetic"
"ASNA1"	"ASNA1"	"Negative Genetic"
"ASNA1"	"ATP6AP1"	"Negative Genetic"
"ASNA1"	"CAMLG"	"Negative Genetic"
"ASNA1"	"CDK12"	"Negative Genetic"
"ASNA1"	"COG3"	"Negative Genetic"
"ASNA1"	"CYB5B"	"Negative Genetic"
"ASNA1"	"GTF3C3"	"Negative Genetic"
"ASNA1"	"KIF14"	"Negative Genetic"
"ASNA1"	"LEO1"	"Negative Genetic"
"ASNA1"	"MBTPS2"	"Negative Genetic"
"ASNA1"	"NUDC"	"Negative Genetic"
"ASNA1"	"POLR3A"	"Negative Genetic"
"ASNA1"	"POLR3B"	"Negative Genetic"
"ASNA1"	"SEC22B"	"Negative Genetic"
"ASNA1"	"SRP19"	"Negative Genetic"
"ASNA1"	"TAF2"	"Negative Genetic"
"ASNA1"	"WDR61"	"Negative Genetic"
"ASNA1"	"WDR7"	"Negative Genetic"
"ATP1A1"	"ATP1A1"	"Negative Genetic"
"ATP1A1"	"MRPL27"	"Negative Genetic"
"ATP1A1"	"MRPS11"	"Negative Genetic"
"ATP1A1"	"MRPS14"	"Negative Genetic"
"ATP1A1"	"MZT1"	"Positive Genetic"
"ATP1A1"	"NDUFB2"	"Negative Genetic"
"ATP1A1"	"PDSS2"	"Negative Genetic"
"ATP1A1"	"TCOF1"	"Negative Genetic"
"ATP1A1"	"ZNF574"	"Negative Genetic"
"ATP5A1"	"C9orf114"	"Positive Genetic"
"ATP5A1"	"COX6C"	"Positive Genetic"
"ATP5A1"	"CTNNBL1"	"Positive Genetic"
"ATP5A1"	"EIF4G1"	"Positive Genetic"
"ATP5A1"	"MINOS1"	"Positive Genetic"
"ATP5A1"	"MINOS1-NBL1"	"Positive Genetic"
"ATP5A1"	"MRPL16"	"Positive Genetic"
"ATP5A1"	"MRPL36"	"Positive Genetic"
"ATP5A1"	"MRPS21"	"Positive Genetic"
"ATP5A1"	"MRPS5"	"Positive Genetic"
"ATP5A1"	"MRPS9"	"Positive Genetic"
"ATP5A1"	"MTOR"	"Negative Genetic"
"ATP5A1"	"NDUFA8"	"Positive Genetic"
"ATP5A1"	"NDUFA9"	"Positive Genetic"
"ATP5A1"	"NDUFB1"	"Positive Genetic"
"ATP5A1"	"NDUFB2"	"Positive Genetic"
"ATP5A1"	"PITRM1"	"Negative Genetic"
"ATP5A1"	"PSMD1"	"Negative Genetic"
"ATP5A1"	"ROMO1"	"Negative Genetic"
"ATP5A1"	"TMEM261"	"Positive Genetic"
"ATP5F1"	"ATP5F1"	"Negative Genetic"
"ATP5F1"	"MINOS1"	"Positive Genetic"
"ATP5F1"	"MINOS1-NBL1"	"Positive Genetic"
"ATP5F1"	"MRPS5"	"Positive Genetic"
"ATP5F1"	"TCOF1"	"Negative Genetic"
"ATP5F1"	"WDR77"	"Negative Genetic"
"ATP5J2"	"DONSON"	"Positive Genetic"
"ATP5J2"	"EIF3H"	"Negative Genetic"
"ATP5J2"	"MAPKAP1"	"Negative Genetic"
"ATP5J2"	"MINOS1"	"Positive Genetic"
"ATP6AP1"	"BTF3"	"Positive Genetic"
"ATP6AP1"	"EMC1"	"Negative Genetic"
"ATP6AP1"	"EMC2"	"Negative Genetic"
"ATP6AP1"	"EMC4"	"Negative Genetic"
"ATP6AP1"	"EMC6"	"Negative Genetic"
"ATP6AP1"	"EMC7"	"Negative Genetic"
"ATP6AP1"	"FDPS"	"Negative Genetic"
"ATP6AP1"	"GFI1B"	"Negative Genetic"
"ATP6AP1"	"GTF3C3"	"Negative Genetic"
"ATP6AP1"	"MBTPS2"	"Negative Genetic"
